|Resolution;Average Read Time;Average Cascade Time;Average Neural Time;Average Match Time;Average Show Time;Average Cycle Time No Face;Average Cycle Time One Face;Average Cycle Time Two Face;Average Cycle Time Three Face|
640x480;0.08310391182123228;0.1136074842408646;0.13991022109985352;0.0037100665709551644;0.007465958287241539;0.20325962612379037;0.3575658868340885;NA;NA
1280x720;0.10337162141036002;0.3122704663633992;0.1408262276413417;0.0036854814774919266;0.020210963503026837;0.43729940994636163;0.5764056196307191;NA;NA
1920x1080;0.09129878470447944;0.6653947183328082;0.14254482281513703;0.004612664381663005;0.04162451463152272;0.7959713316583014;0.949067737811651;NA;NA
